uri,name_fr,name_en,slug
http://purl.org/cld/freq/triennial ,,Triennial [freq:triennial],
http://purl.org/cld/freq/triennial ,,Biennial [freq:biennial],
http://purl.org/cld/freq/triennial ,,Annual [freq:annual],
http://purl.org/cld/freq/triennial ,,Semiannual [freq:semiannual],
http://purl.org/cld/freq/triennial ,,Three times a year [freq:threeTimesAYear],
http://purl.org/cld/freq/triennial ,,Quarterly [freq:quarterly],
http://purl.org/cld/freq/triennial ,,Bimonthly [freq:bimonthly],
http://purl.org/cld/freq/triennial ,,Monthly [freq:monthly],
http://purl.org/cld/freq/triennial ,,Semimonthly [freq:semimonthly],
http://purl.org/cld/freq/triennial ,,Biweekly [freq:biweekly],
http://purl.org/cld/freq/triennial ,,Three times a month [freq:threeTimesAMonth],
http://purl.org/cld/freq/triennial ,,Weekly [freq:weekly],
http://purl.org/cld/freq/triennial ,,Semiweekly [freq:semiweekly],
http://purl.org/cld/freq/triennial ,,Three times a week [freq:threeTimesAWeek],
http://purl.org/cld/freq/triennial ,,Daily [freq:daily],
http://purl.org/cld/freq/triennial ,,Continuous [freq:continuous],
http://purl.org/cld/freq/triennial ,,Irregular [freq:irregular],
